date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:50	114/114	---MCZ	200	added ('OK')	text/plain	date:Sat,%2012%20Apr%202025%2018:28:49%20GMT	https://patinhafeliz.life/robots.txt		(from )
15:28:50	56719/56719	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Apr%202025%2018:28:49%20GMT	https://patinhafeliz.life/patinha/	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/patinha/index.html	(from )
15:28:51	2503/2503	---MCZ	200	added ('OK')	text/css	etag:W/%229c7-62f99d0bfa865%22	https://patinhafeliz.life/wp-content/themes/twentytwentyfive/style.css?ver=1.0	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/themes/twentytwentyfive/style5152.css	(from https://patinhafeliz.life/patinha/)
15:28:51	53269/53269	---MCZ	200	added ('OK')	text/css	etag:W/%22d015-62fa05d48c184%22	https://patinhafeliz.life/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.27.6	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/plugins/elementor/assets/css/frontend.min3dd9.css	(from https://patinhafeliz.life/patinha/)
15:28:51	1164/1164	---MCZ	200	added ('OK')	text/css	etag:W/%2248c-62fa063f323b1%22	https://patinhafeliz.life/wp-content/uploads/elementor/css/post-6.css?ver=1741215778	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/uploads/elementor/css/post-6f3a3.css	(from https://patinhafeliz.life/patinha/)
15:28:51	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%22fe-62fa05d492716%22	https://patinhafeliz.life/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.27.6	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/plugins/elementor/assets/css/widget-image.min3dd9.css	(from https://patinhafeliz.life/patinha/)
15:28:52	1283/1283	---MCZ	200	added ('OK')	text/css	etag:W/%22503-62fa05d493e87%22	https://patinhafeliz.life/wp-content/plugins/elementor/assets/css/widget-video.min.css?ver=3.27.6	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/plugins/elementor/assets/css/widget-video.min3dd9.css	(from https://patinhafeliz.life/patinha/)
15:28:52	704/704	---MCZ	200	added ('OK')	text/css	etag:W/%222c0-62fa05d493e87%22	https://patinhafeliz.life/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.27.6	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/plugins/elementor/assets/css/widget-text-editor.min3dd9.css	(from https://patinhafeliz.life/patinha/)
15:28:52	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%224057-62fa05d505ee7%22	https://patinhafeliz.life/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://patinhafeliz.life/patinha/)
15:28:52	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%22156e-62fa05d488ad3%22	https://patinhafeliz.life/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.27.6	C:/Meus%20Sites/patinha%20feliz/patinhafeliz.life/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min3dd9.css	(from https://patinhafeliz.life/patinha/)
